year,state,teams,avg_win_pct
1993,UT,UTA,0.5789
1993,WI,MIL,0.3553
1994,AZ,PHO,0.6933
1994,CA,"GSW, LAC, LAL, SAC",0.4333
1994,CO,DEN,0.5132
1994,FL,"MIA, ORL",0.55
1994,GA,ATL,0.6842
1994,IL,CHI,0.6579
1994,IN,IND,0.5658
1994,MA,BOS,0.3867
1994,MI,DET,0.2237
1994,MN,MIN,0.2632
1994,NC,CHO,0.5132
1994,NJ,NJN,0.5395
1994,NY,NYK,0.68
1994,OH,CLE,0.5658
1994,OR,POR,0.5867
1994,PA,PHI,0.3067
1994,TX,"DAL, HOU, SAS",0.5263
1994,UT,UTA,0.6579
1994,WI,MIL,0.25
1995,AZ,PHO,0.7067
1995,CA,"GSW, LAC, LAL, SAC",0.39
1995,CO,DEN,0.5
1995,FL,"MIA, ORL",0.5467
1995,GA,ATL,0.5
1995,IL,CHI,0.5921
1995,IN,IND,0.6316
1995,MA,BOS,0.4079
1995,MI,DET,0.3289
1995,MN,MIN,0.2632
1995,NC,CHO,0.5921
1995,NJ,NJN,0.36
1995,NY,NYK,0.6711
1995,OH,CLE,0.5263
1995,OR,POR,0.5333
1995,PA,PHI,0.28
1995,TX,"DAL, HOU, SAS",0.6053
1995,UT,UTA,0.7237
1995,WI,MIL,0.4079
1996,AZ,PHO,0.4861
1996,CA,"GSW, LAC, LAL, SAC",0.4826
1996,CO,DEN,0.4167
1996,FL,"MIA, ORL",0.6216
1996,GA,ATL,0.5811
1996,IL,CHI,0.8784
1996,IN,IND,0.6
1996,MA,BOS,0.4054
1996,MI,DET,0.56
1996,MN,MIN,0.3333
1996,NC,CHO,0.4865
1996,NJ,NJN,0.3514
1996,NY,"NYK, TOR",0.3919
1996,OH,CLE,0.5676
1996,OR,POR,0.5694
1996,PA,PHI,0.2162
1996,TX,"DAL, HOU, SAS",0.5324
1996,UT,UTA,0.6806
1996,WI,MIL,0.3108
1997,AZ,PHO,0.4861
1997,CA,"GSW, LAC, LAL, SAC",0.4653
1997,CO,DEN,0.2361
1997,FL,"MIA, ORL",0.6622
1997,GA,ATL,0.68
1997,IL,CHI,0.84
1997,IN,IND,0.473
1997,MA,BOS,0.2027
1997,MI,DET,0.6351
1997,MN,MIN,0.4861
1997,NC,CHO,0.6351
1997,NJ,NJN,0.2973
1997,NY,"NYK, TOR",0.527
1997,OH,CLE,0.527
1997,OR,POR,0.6111
1997,PA,PHI,0.2568
1997,TX,"DAL, HOU, SAS",0.4074
1997,UT,UTA,0.7639
1997,WI,MIL,0.3919
1998,AZ,PHO,0.6757
1998,CA,"GSW, LAC, LAL, SAC",0.3818
1998,CO,DEN,0.1351
1998,DC,WAS,0.5128
1998,FL,"MIA, ORL",0.5833
1998,GA,ATL,0.6026
1998,IL,CHI,0.7564
1998,IN,IND,0.7179
1998,MA,BOS,0.4231
1998,MI,DET,0.4744
1998,MN,MIN,0.5405
1998,NC,CHO,0.6154
1998,NJ,NJN,0.5256
1998,NY,"NYK, TOR",0.3526
1998,OH,CLE,0.5769
1998,OR,POR,0.5946
1998,PA,PHI,0.3718
1998,TX,"DAL, HOU, SAS",0.455
1998,UT,UTA,0.7568
1998,WI,MIL,0.4359
1999,AZ,PHO,0.4773
1999,CA,"GSW, LAC, LAL, SAC",0.4251
1999,CO,DEN,0.2143
1999,DC,WAS,0.3469
1999,FL,"MIA, ORL",0.66
1999,GA,ATL,0.6122
1999,IL,CHI,0.25
1999,IN,IND,0.6531
1999,MA,BOS,0.3673
1999,MI,DET,0.5714
1999,MN,MIN,0.4651
1999,NC,CHO,0.52
1999,NJ,NJN,0.3061
1999,NY,"NYK, TOR",0.4945
1999,OH,CLE,0.44
1999,OR,POR,0.6977
1999,PA,PHI,0.5625
1999,TX,"DAL, HOU, SAS",0.565
1999,UT,UTA,0.7442
1999,WI,MIL,0.551
2000,AZ,PHO,0.6351
2000,CA,"GSW, LAC, LAL, SAC",0.4324
2000,CO,DEN,0.4324
2000,DC,WAS,0.359
2000,FL,"MIA, ORL",0.5641
2000,GA,ATL,0.3333
2000,IL,CHI,0.2051
2000,IN,IND,0.6795
2000,MA,BOS,0.4231
2000,MI,DET,0.4872
2000,MN,MIN,0.5946
2000,NC,CHO,0.5897
2000,NJ,NJN,0.3974
2000,NY,"NYK, TOR",0.5641
2000,OH,CLE,0.3846
2000,OR,POR,0.7027
2000,PA,PHI,0.5769
2000,TX,"DAL, HOU, SAS",0.5135
2000,UT,UTA,0.6757
2000,WI,MIL,0.5128
2001,AZ,PHO,0.6081
2001,CA,"GSW, LAC, LAL, SAC",0.4932
2001,CO,DEN,0.4595
2001,DC,WAS,0.2436
2001,FL,"MIA, ORL",0.5577
2001,GA,ATL,0.2949
2001,IL,CHI,0.1795
2001,IN,IND,0.4872
2001,MA,BOS,0.4359
2001,MI,DET,0.3718
2001,MN,MIN,0.5541
2001,NC,CHO,0.5769
2001,NJ,NJN,0.3077
2001,NY,"NYK, TOR",0.5705
2001,OH,CLE,0.3718
2001,OR,POR,0.6216
2001,PA,PHI,0.6795
2001,TX,"DAL, HOU, SAS",0.6171
2001,UT,UTA,0.6081
2001,WI,MIL,0.6538
2002,AZ,PHO,0.4359
2002,CA,"GSW, LAC, LAL, SAC",0.5545
2002,CO,DEN,0.3077
2002,DC,WAS,0.45
2002,FL,"MIA, ORL",0.4875
2002,GA,ATL,0.4125
2002,IL,CHI,0.25
2002,IN,IND,0.525
2002,MA,BOS,0.6
2002,MI,DET,0.6125
2002,MN,MIN,0.6154
2002,NC,CHO,0.5375
2002,NJ,NJN,0.6375
2002,NY,"NYK, TOR",0.4375
2002,OH,CLE,0.3625
2002,OR,POR,0.5897
2002,PA,PHI,0.525
2002,TN,MEM,0.2949
2002,TX,"DAL, HOU, SAS",0.5812
2002,UT,UTA,0.5256
2002,WI,MIL,0.5125
2003,AZ,PHO,0.5513
2003,CA,"GSW, LAC, LAL, SAC",0.5321
2003,CO,DEN,0.2051
2003,DC,WAS,0.45
2003,FL,"MIA, ORL",0.4062
2003,GA,ATL,0.425
2003,IL,CHI,0.375
2003,IN,IND,0.575
2003,LA,NOH,0.5625
2003,MA,BOS,0.525
2003,MI,DET,0.6125
2003,MN,MIN,0.6282
2003,NJ,NJN,0.6
2003,NY,"NYK, TOR",0.375
2003,OH,CLE,0.2
2003,OR,POR,0.5897
2003,PA,PHI,0.5875
2003,TN,MEM,0.3462
2003,TX,"DAL, HOU, SAS",0.6667
2003,UT,UTA,0.5769
2003,WI,MIL,0.5125
2004,AZ,PHO,0.3462
2004,CA,"GSW, LAC, LAL, SAC",0.5353
2004,CO,DEN,0.5256
2004,DC,WAS,0.3
2004,FL,"MIA, ORL",0.3812
2004,GA,ATL,0.3375
2004,IL,CHI,0.2875
2004,IN,IND,0.7375
2004,LA,NOH,0.5125
2004,MA,BOS,0.4375
2004,MI,DET,0.6625
2004,MN,MIN,0.7051
2004,NJ,NJN,0.5625
2004,NY,"NYK, TOR",0.4375
2004,OH,CLE,0.4125
2004,OR,POR,0.5
2004,PA,PHI,0.4
2004,TN,MEM,0.6282
2004,TX,"DAL, HOU, SAS",0.6239
2004,UT,UTA,0.5
2004,WI,MIL,0.5125
2005,AZ,PHO,0.7595
